slug,archivo,ruta_origen,activo,estrategia,magic,estado,score,r_mult,max_dd_pct,winrate,notas
Pure_Fractal_Pure_v8_1,Pure_Fractal_Pure_v8_1.mq5,Pure_Fractal_Pure_v8_1.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"Pure_Fractal_Pure_v8.mq5                    |; 2D Discrete Cinematic Kalman Filter + Acceleration Gauge   |; Full architectural refactor of v7 — Production Build       |; DEFECT ELIMINATED: Dual-EMA Micro-Inertia engine replaced.      |; The g_slowEMA macro-displacement anchor (high inertia, lagging) |; and g_fastEMA velocity proxy are entirely removed. In their     |; place: a constant-velocity Kalman Filter that estimates the     |; TRUE instantaneous price (p_k) and TRUE tick-velocity (v_k)     |"
Pure_Fractal_Pure_v8_2,Pure_Fractal_Pure_v8_2.mq5,Pure_Fractal_Pure_v8_2.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"Pure_Fractal_Pure_v8_2.mq5                  |; 2D Discrete Cinematic Kalman Filter + Acceleration Gauge   |; Full architectural refactor of v7 — Production Build       |; DEFECT ELIMINATED: Dual-EMA Micro-Inertia engine replaced.      |; The g_slowEMA macro-displacement anchor (high inertia, lagging) |; and g_fastEMA velocity proxy are entirely removed. In their     |; place: a constant-velocity Kalman Filter that estimates the     |; TRUE instantaneous price (p_k) and TRUE tick-velocity (v_k)     |"
TradeLog_Analyzer,TradeLog_Analyzer.mq5,TradeLog_Analyzer.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"TradeLog_Analyzer.mq5  |; Copyright 2026, MetaQuotes Software Corp. |; https://www.mql5.com |; version: 1.00"
Trend_Claude,Trend Claude.mq5,Trend Claude.mq5,VARIOS/ND,Tendencia,20260721,POR_REVISAR,0,,,,XAUUSD_TrendATR_EA.mq5    |; EA de tendencia (cruce EMA) con gestion de riesgo ATR     |; Optimizado para XAUUSD - Cuentas Cent Exness         |; version: 1.00
XAUUSD_NeurAlgo_M1_V2,XAUUSD NeurAlgo M1 V2.mq5,XAUUSD NeurAlgo M1 V2.mq5,XAUUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT - V9.0-CAPITALGUARD                                  |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; CRASH ROOT CAUSE ANALYSIS (from M15 backtest on $100):        |; [RCA-1] CalcRecoveryLot() ignoraba timeframe. En M15,         |; ATR es 3.9x mayor que M1 → lote calculado = 0.91      |; sobre cuenta de $100 → margin call inmediato.         |; [RCA-2] Sin techo absoluto de volumen acumulado en mercado.   |; Recovery stack llegó a 1.45 lots = $455 margen.       |"
XAUUSD_NeurAlgo_M1_V3,XAUUSD NeurAlgo M1 V3.mq5,XAUUSD NeurAlgo M1 V3.mq5,XAUUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT - V9.0-CAPITALGUARD                                  |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; CRASH ROOT CAUSE ANALYSIS (from M15 backtest on $100):        |; [RCA-1] CalcRecoveryLot() ignoraba timeframe. En M15,         |; ATR es 3.9x mayor que M1 → lote calculado = 0.91      |; sobre cuenta de $100 → margin call inmediato.         |; [RCA-2] Sin techo absoluto de volumen acumulado en mercado.   |; Recovery stack llegó a 1.45 lots = $455 margen.       |"
XAUUSD_NeurAlgo_M1_V8-ENDLESS,XAUUSD NeurAlgo M1 V8-ENDLESS.mq5,XAUUSD NeurAlgo M1 V8-ENDLESS.mq5,XAUUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT V8-ENDLESS — XAUUSD 24/7 DIRECTIONAL CYCLE           |; REDISEÑO TOTAL (V8-ENDLESS) basado en V7.9.2-XAU:             |; 1) OPERACION 24/7: sin sesiones, sin ventana horaria,          |; entradas primarias cada ~Inp_PrimaryIntervalSec.            |; 2) RECUPERACION SIN LIMITE FIJO: no hay Inp_RecoveryMaxOrders. |; El bloque agrega posiciones mientras este en perdida,       |; hasta cerrar en positivo. Solo el margen libre lo frena.    |; 3) CIERRE CON MAS GANANCIA: target dinamico = ATR del          |"
XAUUSD_NeurAlgo_M1,XAUUSD NeurAlgo M1.mq5,XAUUSD NeurAlgo M1.mq5,XAUUSD,Scalping,,POR_REVISAR,0,,,,"APEXQUANT - V7.9.2-ASYMMETRIC-XAUUSD                            |; ""DIRECTIONAL RECOVERY — ANTI-SYMMETRIC ENGINE""                 |; BASE: V7.9.1-ASYMMETRIC-BTC (rama BTCUSD del linaje APEXQUANT)   |; ASSET TARGET: XAUUSD (retargeting + recalibracion con datos)     |; RE-ADAPTACION A XAUUSD (desde la rama BTC):                      |; - [XAU-1] Restaurado el cierre de fin de semana (Sabado        |; completo + Domingo antes de reapertura + tramo final del     |; Viernes) via IsMarketClosed(), ausente en la rama BTC 24/7.  |"
XAUUSD_AutoCalib_EA,XAUUSD_AutoCalib_EA.mq5,XAUUSD_AutoCalib\XAUUSD_AutoCalib_EA.mq5,XAUUSD,Mixta/Otra,20260710,POR_REVISAR,0,,,,"XAUUSD_AutoCalib_EA.mq5    |; Expert Advisor de Price Action MTF con Auto-Calibración         |; Dinámica para XAUUSD — Exness (cuentas Real y Cent)             |; RESUMEN DE ARQUITECTURA (ver también los .mqh incluidos):        |; MarketStructure.mqh  -> fractales, volatilidad estructural,   |; Efficiency Ratio, régimen (por TF)   |; DecisionEngine.mqh   -> combina 6 temporalidades (D1..M1) en  |; una señal MTF con SL basado en       |"
XAUUSD_AutoCalib_EA_v1.1,XAUUSD_AutoCalib_EA_v1.1.mq5,XAUUSD_AutoCalib\XAUUSD_AutoCalib_EA_v1.1.mq5,XAUUSD,Mixta/Otra,20260710,POR_REVISAR,0,,,,XAUUSD_AutoCalib_EA.mq5      |; Motor Adaptativo Multi-Temporal - Price Action Puro        |; XAUUSD | Exness | Auto-Calibracion Dinamica          |; version: 1.10; DOCUMENTACION DE ARQUITECTURA; ---------------------------------------------------------------------; 1. MOTOR DE ESTRUCTURA (fractales nativos iFractals) -> sesgo macro D1/H4; 2. CLASIFICADOR DE REGIMEN (Efficiency Ratio + ATR Expansion + StdDev/ATR)
XAUUSD_FVG_Scalper,XAUUSD_FVG_Scalper.mq5,XAUUSD_FVG_Scalper.mq5,XAUUSD,FVG,202672,POR_REVISAR,0,,,,XAUUSD_FVG_Scalper.mq5         |; APEXQUANT / NeurAlgo project         |; version: 1.00
XAUUSD_PriceAction_Scalper,XAUUSD_PriceAction_Scalper.mq5,XAUUSD_PriceAction_Scalper.mq5,XAUUSD,Scalping,202672,POR_REVISAR,0,,,,XAUUSD_FVG_Scalper.mq5         |; APEXQUANT / NeurAlgo project         |; version: 1.00
XAUUSD_Scalper_Visual,XAUUSD_Scalper_Visual.mq5,XAUUSD_Scalper_Visual.mq5,XAUUSD,Scalping,202607,POR_REVISAR,0,,,,XAUUSD_Scalper_Visual.mq5      |; APEXQUANT / NeurAlgo project    |; version: 1.00
XAUUSD_TrendATR_EA,XAUUSD_TrendATR_EA.mq5,XAUUSD_TrendATR_EA.mq5,XAUUSD,Tendencia,20260721,POR_REVISAR,0,,,,XAUUSD_TrendATR_EA.mq5    |; EA de tendencia (cruce EMA) con gestion de riesgo ATR     |; Optimizado para XAUUSD - Cuentas Cent Exness         |; version: 1.10
new_2,new 2.mq5,new 2.mq5,VARIOS/ND,Mixta/Otra,,POR_REVISAR,0,,,,"Pure_Fractal_Pure_v11.mq5                   |; v10 Capital-Protected Engine + Production Hardening Layer       |; WHY THIS VERSION EXISTS                                          |; v9 fixed the SIGNAL problem (reversal whipsaw). v10 fixed the    |; CAPITAL problem (no risk-based sizing, no cross-symbol guard).   |; v11 fixes the BROKER/EXECUTION problem: the class of errors and  |; silent failure modes that show up once you actually run this on  |; 4 different real symbols (BTCUSD / XAUUSD / EURUSD / GBPUSD)     |"
